timestamp_ms,temp_celsius,clock_hz
1776226307652,41.615,1800000
1776226307752,40.692,1800000
1776226307852,39.769,1800000
1776226307952,39.769,1800000
1776226308052,39.769,1800000
1776226308152,39.769,1800000
1776226308252,39.769,1800000
1776226308352,39.769,1800000
1776226308452,39.769,1800000
1776226308552,39.769,1800000
1776226308652,39.769,1800000
1776226308752,39.769,1800000
1776226308852,39.769,1800000
1776226308952,39.769,1800000
1776226309052,39.769,1800000
1776226309152,39.769,1800000
1776226309252,39.769,1800000
1776226309352,39.769,1800000
1776226309452,39.769,1800000
1776226309552,39.769,1800000
1776226309652,39.769,1800000
1776226309752,39.769,1800000
1776226309852,39.769,1800000
1776226309952,39.769,1800000
1776226310052,39.769,1800000
1776226310152,39.769,1800000
1776226310252,39.769,1800000
1776226310352,39.769,1800000
1776226310452,39.769,1800000
1776226310552,39.769,1800000
1776226310652,39.769,1800000
1776226310752,39.769,1800000
1776226310852,39.769,1800000
1776226310952,39.769,1800000
1776226311052,39.769,1800000
1776226311152,39.769,1800000
1776226311252,39.769,1800000
1776226311352,39.769,1800000
1776226311452,39.769,1800000
1776226311552,39.769,1800000
1776226311652,39.769,1800000
1776226311752,39.769,1800000
1776226311852,39.769,1800000
1776226311952,39.769,1800000
1776226312052,39.769,1800000
1776226312152,39.769,1800000
1776226312252,39.769,1800000
1776226312352,39.769,1800000
1776226312452,39.769,1800000
1776226312552,39.769,1800000
1776226312652,40.692,1800000
1776226312753,41.615,1800000
1776226312852,41.615,1800000
1776226312953,41.615,1800000
1776226313053,41.615,1800000
1776226313153,41.615,1800000
1776226313253,42.538,1800000
1776226313353,41.615,1800000
1776226313453,42.538,1800000
1776226313553,42.538,1800000
1776226313653,42.538,1800000
1776226313752,42.538,1800000
1776226313852,42.538,1800000
1776226313952,42.538,1800000
1776226314052,42.538,1800000
1776226314152,42.538,1800000
1776226314253,42.538,1800000
1776226314353,42.538,1800000
1776226314453,42.538,1800000
1776226314553,42.538,1800000
1776226314652,42.538,1800000
1776226314752,42.538,1800000
1776226314852,42.538,1800000
1776226314953,42.538,1800000
1776226315052,42.538,1800000
1776226315152,42.538,1800000
1776226315253,43.461,1800000
1776226315353,42.538,1800000
1776226315453,42.538,1800000
1776226315553,42.538,1800000
1776226315653,43.461,1800000
1776226315753,42.538,1800000
1776226315852,45.307,1800000
1776226315952,47.153,1800000
1776226316052,48.076,1800000
1776226316152,49.923,1800000
1776226316252,49.923,1800000
1776226316352,49.923,1800000
1776226316452,50.846,1800000
1776226316552,50.846,1800000
1776226316652,50.846,1800000
1776226316752,51.769,1800000
1776226316852,52.692,1800000
1776226316952,52.692,1800000
1776226317052,52.692,1800000
1776226317152,53.615,1800000
1776226317252,53.615,1800000
1776226317352,53.615,1800000
1776226317452,53.615,1800000
1776226317552,53.615,1800000
1776226317652,54.538,1800000
1776226317752,54.538,1800000
1776226317852,54.538,1800000
1776226317953,52.692,1800000
1776226318053,49.923,1800000
1776226318153,48.076,1800000
1776226318252,46.230,1800000
1776226318352,45.307,1800000
1776226318452,45.307,1800000
1776226318552,45.307,1800000
1776226318652,44.384,1800000
1776226318752,44.384,1800000
1776226318852,44.384,1800000
1776226318952,44.384,1800000
1776226319052,43.461,1800000
1776226319152,43.461,1800000
1776226319252,43.461,1800000
1776226319352,43.461,1800000
1776226319452,43.461,1800000
1776226319552,43.461,1800000
1776226319652,43.461,1800000
1776226319752,42.538,1800000
1776226319852,42.538,1800000
1776226319952,42.538,1800000
1776226320052,42.538,1800000
1776226320152,42.538,1800000
1776226320252,42.538,1800000
1776226320352,42.538,1800000
1776226320452,42.538,1800000
1776226320552,42.538,1800000
1776226320652,41.615,1800000
1776226320752,42.538,1800000
1776226320852,42.538,1800000
1776226320952,42.538,1800000
1776226321052,41.615,1800000
1776226321152,41.615,1800000
1776226321252,41.615,1800000
1776226321352,41.615,1800000
1776226321452,41.615,1800000
1776226321552,41.615,1800000
1776226321652,41.615,1800000
1776226321752,41.615,1800000
1776226321852,41.615,1800000
1776226321952,41.615,1800000
1776226322052,41.615,1800000
1776226322152,41.615,1800000
1776226322252,41.615,1800000
1776226322352,41.615,1800000
1776226322452,41.615,1800000
1776226322552,41.615,1800000
1776226322652,41.615,1800000
1776226322753,42.538,1800000
1776226322852,46.230,1800000
1776226322952,48.076,1800000
1776226323052,49.000,1800000
1776226323152,49.923,1800000
1776226323252,51.769,1800000
1776226323352,51.769,1800000
1776226323452,52.692,1800000
1776226323552,52.692,1800000
1776226323652,52.692,1800000
1776226323752,52.692,1800000
1776226323852,53.615,1800000
1776226323952,53.615,1800000
1776226324052,53.615,1800000
1776226324152,53.615,1800000
1776226324252,54.538,1800000
1776226324352,54.538,1800000
1776226324452,54.538,1800000
1776226324552,54.538,1800000
1776226324652,54.538,1800000
1776226324752,55.461,1800000
1776226324852,55.461,1800000
1776226324952,54.538,1800000
1776226325052,55.461,1800000
1776226325152,55.461,1800000
1776226325252,55.461,1800000
1776226325352,56.384,1800000
1776226325452,56.384,1800000
1776226325552,56.384,1800000
1776226325652,56.384,1800000
1776226325752,56.384,1800000
1776226325852,56.384,1800000
1776226325952,57.307,1800000
1776226326052,56.384,1800000
1776226326152,56.384,1800000
1776226326252,56.384,1800000
1776226326352,57.307,1800000
1776226326452,57.307,1800000
1776226326552,57.307,1800000
1776226326652,56.384,1800000
1776226326753,57.307,1800000
1776226326852,57.307,1800000
1776226326952,57.307,1800000
1776226327052,57.307,1800000
1776226327152,57.307,1800000
1776226327252,57.307,1800000
1776226327352,57.307,1800000
1776226327452,58.230,1800000
1776226327552,57.307,1800000
1776226327652,58.230,1800000
1776226327752,57.307,1800000
1776226327853,56.384,1800000
1776226327952,53.615,1800000
1776226328052,51.769,1800000
1776226328152,49.923,1800000
1776226328252,49.000,1800000
1776226328352,49.000,1800000
1776226328452,48.076,1800000
1776226328552,48.076,1800000
1776226328652,47.153,1800000
1776226328752,47.153,1800000
1776226328852,47.153,1800000
1776226328952,47.153,1800000
1776226329052,46.230,1800000
1776226329152,46.230,1800000
1776226329252,46.230,1800000
1776226329352,46.230,1800000
1776226329452,46.230,1800000
1776226329552,46.230,1800000
1776226329652,46.230,1800000
1776226329752,45.307,1800000
1776226329852,45.307,1800000
1776226329952,45.307,1800000
1776226330052,45.307,1800000
1776226330152,45.307,1800000
1776226330252,45.307,1800000
1776226330352,45.307,1800000
1776226330452,45.307,1800000
1776226330552,44.384,1800000
1776226330652,45.307,1800000
1776226330752,44.384,1800000
1776226330852,44.384,1800000
1776226330952,44.384,1800000
1776226331052,44.384,1800000
1776226331152,44.384,1800000
1776226331252,44.384,1800000
1776226331352,44.384,1800000
1776226331452,44.384,1800000
1776226331552,44.384,1800000
1776226331652,44.384,1800000
1776226331752,44.384,1800000
1776226331852,44.384,1800000
1776226331952,44.384,1800000
1776226332053,44.384,1800000
1776226332152,44.384,1800000
1776226332252,43.461,1800000
1776226332352,43.461,1800000
1776226332452,43.461,1800000
1776226332552,44.384,1800000
1776226332653,44.384,1800000
1776226332752,48.076,1800000
1776226332852,49.923,1800000
1776226332952,51.769,1800000
1776226333052,52.692,1800000
1776226333152,53.615,1800000
1776226333252,54.538,1800000
1776226333352,54.538,1800000
1776226333452,54.538,1800000
1776226333552,54.538,1800000
1776226333652,55.461,1800000
1776226333752,54.538,1800000
1776226333852,55.461,1800000
1776226333952,55.461,1800000
1776226334052,55.461,1800000
1776226334153,56.384,1800000
1776226334252,56.384,1800000
1776226334352,56.384,1800000
1776226334452,56.384,1800000
1776226334552,57.307,1800000
1776226334652,56.384,1800000
1776226334752,57.307,1800000
1776226334852,57.307,1800000
1776226334952,57.307,1800000
1776226335052,57.307,1800000
1776226335152,57.307,1800000
1776226335252,58.230,1800000
1776226335352,58.230,1800000
1776226335452,58.230,1800000
1776226335552,58.230,1800000
1776226335652,58.230,1800000
1776226335752,58.230,1800000
1776226335852,58.230,1800000
1776226335952,58.230,1800000
1776226336052,58.230,1800000
1776226336152,58.230,1800000
1776226336252,58.230,1800000
1776226336352,59.153,1800000
1776226336452,59.153,1800000
1776226336552,59.153,1800000
1776226336652,59.153,1800000
1776226336752,59.153,1800000
1776226336852,59.153,1800000
1776226336952,59.153,1800000
1776226337052,59.153,1800000
1776226337152,59.153,1800000
1776226337252,59.153,1800000
1776226337352,60.076,1800000
1776226337452,60.076,1800000
1776226337552,59.153,1800000
1776226337652,60.076,1800000
1776226337752,60.076,1800000
1776226337853,58.230,1800000
1776226337953,55.461,1800000
1776226338053,52.692,1800000
1776226338152,51.769,1800000
1776226338252,50.846,1800000
1776226338352,50.846,1800000
1776226338452,49.923,1800000
1776226338552,49.923,1800000
1776226338652,49.000,1800000
1776226338752,49.000,1800000
1776226338852,48.076,1800000
1776226338952,48.076,1800000
1776226339052,48.076,1800000
1776226339152,48.076,1800000
1776226339252,48.076,1800000
1776226339352,48.076,1800000
1776226339452,48.076,1800000
1776226339552,47.153,1800000
1776226339652,47.153,1800000
1776226339752,47.153,1800000
1776226339852,47.153,1800000
1776226339952,47.153,1800000
1776226340052,47.153,1800000
1776226340152,47.153,1800000
1776226340252,47.153,1800000
1776226340352,46.230,1800000
1776226340452,46.230,1800000
1776226340552,46.230,1800000
1776226340652,46.230,1800000
1776226340752,46.230,1800000
1776226340852,46.230,1800000
1776226340952,46.230,1800000
1776226341052,46.230,1800000
1776226341152,46.230,1800000
1776226341252,46.230,1800000
1776226341352,46.230,1800000
1776226341452,46.230,1800000
1776226341552,46.230,1800000
1776226341652,46.230,1800000
1776226341752,46.230,1800000
1776226341852,45.307,1800000
1776226341952,45.307,1800000
1776226342052,45.307,1800000
1776226342152,45.307,1800000
1776226342252,45.307,1800000
1776226342352,45.307,1800000
1776226342452,45.307,1800000
1776226342552,45.307,1800000
1776226342652,45.307,1800000
1776226342753,46.230,1800000
1776226342852,49.923,1800000
1776226342952,51.769,1800000
1776226343052,53.615,1800000
1776226343152,53.615,1800000
1776226343252,54.538,1800000
1776226343352,55.461,1800000
1776226343452,56.384,1800000
1776226343552,55.461,1800000
1776226343652,56.384,1800000
1776226343752,56.384,1800000
1776226343852,57.307,1800000
1776226343952,56.384,1800000
1776226344052,57.307,1800000
1776226344152,57.307,1800000
1776226344252,57.307,1800000
1776226344352,58.230,1800000
1776226344452,58.230,1800000
1776226344552,58.230,1800000
1776226344652,58.230,1800000
1776226344752,58.230,1800000
1776226344852,58.230,1800000
1776226344952,58.230,1800000
1776226345052,59.153,1800000
1776226345152,59.153,1800000
1776226345252,59.153,1800000
1776226345352,59.153,1800000
1776226345452,60.076,1800000
1776226345552,59.153,1800000
1776226345652,59.153,1800000
1776226345752,60.076,1800000
1776226345852,60.076,1800000
1776226345952,60.076,1800000
1776226346052,60.076,1800000
1776226346152,60.076,1800000
1776226346252,60.076,1800000
1776226346352,60.076,1800000
1776226346452,61.000,1800000
1776226346552,60.076,1800000
1776226346652,60.076,1800000
1776226346752,61.000,1800000
1776226346852,60.076,1800000
1776226346952,60.076,1800000
1776226347052,60.076,1800000
1776226347152,61.000,1800000
1776226347252,61.000,1800000
1776226347352,61.000,1800000
1776226347452,61.000,1800000
1776226347552,61.000,1800000
1776226347652,61.000,1800000
1776226347752,61.000,1800000
1776226347853,60.076,1800000
1776226347953,57.307,1800000
1776226348052,54.538,1800000
1776226348152,53.615,1800000
1776226348252,52.692,1800000
1776226348352,51.769,1800000
1776226348452,50.846,1800000
1776226348552,50.846,1800000
1776226348652,50.846,1800000
1776226348752,49.923,1800000
1776226348852,49.923,1800000
1776226348952,49.923,1800000
1776226349052,49.923,1800000
1776226349152,49.000,1800000
1776226349252,49.000,1800000
1776226349352,49.000,1800000
1776226349452,49.000,1800000
1776226349552,48.076,1800000
1776226349652,48.076,1800000
1776226349752,48.076,1800000
1776226349852,48.076,1800000
1776226349952,48.076,1800000
1776226350052,48.076,1800000
1776226350152,48.076,1800000
1776226350252,48.076,1800000
1776226350352,48.076,1800000
1776226350452,47.153,1800000
1776226350552,48.076,1800000
1776226350652,47.153,1800000
1776226350752,47.153,1800000
1776226350852,47.153,1800000
1776226350952,47.153,1800000
1776226351052,47.153,1800000
1776226351152,47.153,1800000
1776226351252,47.153,1800000
1776226351352,47.153,1800000
1776226351452,47.153,1800000
1776226351552,47.153,1800000
