timestamp_ms,temp_celsius,clock_hz
1776308368771,41.615,1800000
1776308368871,40.692,1800000
1776308368971,40.692,1800000
1776308369071,40.692,1800000
1776308369171,39.769,1800000
1776308369271,39.769,1800000
1776308369371,39.769,1800000
1776308369471,39.769,1800000
1776308369571,39.769,1800000
1776308369671,39.769,1800000
1776308369771,39.769,1800000
1776308369871,39.769,1800000
1776308369971,39.769,1800000
1776308370071,40.692,1800000
1776308370171,39.769,1800000
1776308370271,39.769,1800000
1776308370371,39.769,1800000
1776308370471,39.769,1800000
1776308370571,39.769,1800000
1776308370671,39.769,1800000
1776308370771,39.769,1800000
1776308370871,39.769,1800000
1776308370971,39.769,1800000
1776308371071,39.769,1800000
1776308371171,39.769,1800000
1776308371271,39.769,1800000
1776308371371,39.769,1800000
1776308371471,39.769,1800000
1776308371571,39.769,1800000
1776308371671,39.769,1800000
1776308371771,39.769,1800000
1776308371871,40.692,1800000
1776308371971,39.769,1800000
1776308372071,39.769,1800000
1776308372171,39.769,1800000
1776308372271,39.769,1800000
1776308372371,39.769,1800000
1776308372471,39.769,1800000
1776308372571,39.769,1800000
1776308372671,39.769,1800000
1776308372771,39.769,1800000
1776308372871,39.769,1800000
1776308372971,39.769,1800000
1776308373071,39.769,1800000
1776308373171,39.769,1800000
1776308373271,39.769,1800000
1776308373371,39.769,1800000
1776308373471,39.769,1800000
1776308373571,39.769,1800000
1776308373671,39.769,1800000
1776308373771,40.692,1800000
1776308373871,40.692,1800000
1776308373971,40.692,1800000
1776308374071,40.692,1800000
1776308374171,40.692,1800000
1776308374271,40.692,1800000
1776308374371,40.692,1800000
1776308374471,40.692,1800000
1776308374571,41.615,1800000
1776308374671,41.615,1800000
1776308374771,41.615,1800000
1776308374871,41.615,1800000
1776308374971,41.615,1800000
1776308375071,41.615,1800000
1776308375171,41.615,1800000
1776308375271,41.615,1800000
1776308375371,41.615,1800000
1776308375471,41.615,1800000
1776308375571,41.615,1800000
1776308375671,41.615,1800000
1776308375771,41.615,1800000
1776308375871,41.615,1800000
1776308375971,41.615,1800000
1776308376071,41.615,1800000
1776308376171,41.615,1800000
1776308376271,41.615,1800000
1776308376371,41.615,1800000
1776308376471,41.615,1800000
1776308376571,41.615,1800000
1776308376671,41.615,1800000
1776308376771,41.615,1800000
1776308376871,41.615,1800000
1776308376971,41.615,1800000
1776308377071,41.615,1800000
1776308377171,41.615,1800000
1776308377271,41.615,1800000
1776308377371,41.615,1800000
1776308377471,41.615,1800000
1776308377571,41.615,1800000
1776308377671,41.615,1800000
1776308377771,41.615,1800000
1776308377871,41.615,1800000
1776308377971,41.615,1800000
1776308378071,41.615,1800000
1776308378171,41.615,1800000
1776308378271,41.615,1800000
1776308378371,41.615,1800000
1776308378471,41.615,1800000
1776308378571,41.615,1800000
1776308378671,41.615,1800000
1776308378771,41.615,1800000
1776308378871,41.615,1800000
1776308378971,42.538,1800000
1776308379071,42.538,1800000
1776308379171,42.538,1800000
1776308379271,42.538,1800000
1776308379371,41.615,1800000
1776308379471,41.615,1800000
1776308379571,41.615,1800000
1776308379671,41.615,1800000
1776308379771,42.538,1800000
1776308379871,42.538,1800000
1776308379971,41.615,1800000
1776308380071,41.615,1800000
1776308380171,41.615,1800000
