freq,mean,p50,p90,p99,p100
408MHz,2328.03,1400,3402,7112,137060
600MHz,2450.76,2254,3164,4795,60025
816MHz,1793.50,1715,1736,3675,25326
1.01GHz,1174.44,1120,1134,2443,19831
1.20GHz,1230.97,1127,1638,2555,18186
1.42GHz,867.61,826,840,1820,17311
1.61GHz,314.84,301,308,644,6447
1.80GHz,313.77,301,308,644,4844
2.02GHz,779.81,742,749,1624,48412
2.21GHz,251.71,238,245,525,6860
2.30GHz,777.97,742,749,1624,46879
