freq,mean,p50,p90,p99,p100
408MHz,106142.26,106001,106239,109326,110047
600MHz,70776.30,70651,70917,73115,73493
816MHz,54044.48,53970,54019,56154,56434
1GHz,44315.60,44198,44604,44604,44800
1.20GHz,36722.49,36659,36715,38157,38703
1.42GHz,25498.13,25445,25501,26572,27020
1.61GHz,22649.69,22582,22624,24227,24388
1.80GHz,22878.94,22799,22946,24262,25452
2.02GHz,18098.36,18046,18067,19278,19292
2.21GHz,18004.35,17969,18025,18690,19138
2.30GHz,17898.72,17857,17885,19110,19117
